title,company,salary,city,category,subcategory,minimumsalary,maximumsalary
SÜRÜCÜ,Piramida Reklam,500 - 600 AZN,Bakı,Xidmət ,Sürücü,500,600
RESERVATİON MANAGER,Caucasian Travel Dreams DMC,600 - 900 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,600,900
MEXANİK ELEKTRİK,SQS Group MMC,1000 - 1500 AZN,Bakı,Xidmət ,Digər,1000,1500
ŞÜŞƏ TƏMİZLƏYƏN İŞÇİ,CoffeeLea,500 - 600 AZN,Bakı,Xidmət ,Xadimə,500,600
BELLMAN,Hotel Golden Coast,400 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,
AĞIR NƏQLİYYAT VASİTƏLƏRİ ÜZRƏ ÇİLİNGƏR,"""Performance Center Co"" MMC (Chevrolet Azərbaycan)",800 - 1500 AZN,Bakı,Xidmət ,Digər,800,1500
BƏLƏDÇİ,İnterpreter,1700 - 2000 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,1700,2000
SÜRÜCÜ KURYER ,Aromart,500 - 900 AZN,Bakı,Xidmət ,Sürücü,500,900
TƏMİZLİKÇİ,GOLDEN HORN APART HOTEL,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
ŞEF BARİSTA,Özəl şirkət,800 - 1000 AZN,Bakı,Xidmət ,Restoran işi,800,1000
XADİMƏ,Zeytun Pharmaceuticals MMC,—,Bakı,Xidmət ,Xadimə,,
MEBEL USTASI,As Project,1000 - 1500 AZN,Bakı,Xidmət ,Digər,1000,1500
TİKİŞÇİ,Embawood,700 - 900 AZN,Sumqayıt,Xidmət ,Digər,700,900
MÜHAFİZƏÇİ,Trustlux MMC,300 - 400 AZN,Qaradağ,Xidmət ,Mühafizə xidməti,300,400
